CellID,X_centroid,Y_centroid,phenotype,Cluster
311228,28350.061611374407,23377.88151658768,M2 macrophages,158
749165,31553.49731182796,23805.0188172043,M2 macrophages,159
886608,28763.593220338986,23390.08474576272,M2 macrophages,160
766566,29671.231707317074,23920.727642276423,M2 macrophages,161
904020,27993.716666666667,23624.522222222226,M2 macrophages,162
748726,31580.311475409835,23667.16393442623,M2 macrophages,163
126146,29521.59925093633,23590.23970037453,M2 macrophages,164
538122,28431.235294117647,23703.0,M2 macrophages,165
711823,30539.76165803109,23577.75647668394,M2 macrophages,166
419691,28448.94943820225,23285.80337078652,M2 macrophages,167
951657,27149.854166666668,23350.42361111111,M2 macrophages,168
75114,28369.260355029583,23695.31952662722,M2 macrophages,169
269333,30003.60280373832,23917.546728971964,M2 macrophages,170
636361,26759.906976744187,23540.45348837209,M2 macrophages,171
656043,31483.670506912444,23577.14285714286,M2 macrophages,172
477340,28177.81224489796,23550.342857142856,M2 macrophages,173
993912,28747.056338028167,23739.74647887324,M2 macrophages,174
683592,28556.288209606988,23274.29257641921,M2 macrophages,175
201543,28397.027777777777,23285.32407407408,M2 macrophages,176
367710,27578.85064935065,23553.801948051947,M2 macrophages,177
387811,31310.575107296136,23469.52360515021,M2 macrophages,178
863123,27186.809523809523,23340.51020408163,M2 macrophages,179
739321,26685.38829787234,23281.26063829788,M2 macrophages,180
32301,28432.56551724138,23391.96206896552,M2 macrophages,181
946393,30443.46913580247,23774.07407407408,M2 macrophages,182
1019469,29614.615384615383,23774.03846153846,M2 macrophages,183
919009,28428.646341463416,23500.475609756097,M2 macrophages,184
902284,27832.74251497006,23420.7125748503,M2 macrophages,185
738015,27042.69248826291,23408.75117370892,M2 macrophages,186
703938,31683.65,24024.3,NK,0
893642,28214.070422535213,23423.591549295776,NK,1
18239,29977.53103448276,23435.834482758622,NK,2
1041033,27237.84962406015,23355.96992481203,NK,3
469749,29197.75935828877,23832.31550802139,NK,4
63833,30939.20555555556,23802.56111111111,NK,5
759360,26511.54333333333,23430.566666666666,NK,6
331043,28782.632978723403,23653.12234042553,NK,7
887104,27784.284974093265,23339.98445595855,NK,8
654428,30401.275510204083,23657.882653061224,NK,9
363907,31102.311475409835,23569.16393442623,NK,10
302224,29882.4674796748,23826.439024390245,NK,11
440172,29616.122905027933,23834.12849162011,NK,12
1025373,28565.384615384617,23520.25641025641,NK,13
902480,31313.139896373057,23873.834196891192,NK,14
936523,29004.791666666668,23729.916666666668,NK,15
914439,27505.78461538461,23305.215384615385,NK,16
538311,30164.64480874317,23187.207650273223,NK,17
233707,28625.915,23352.81,NK,18
279357,27623.695,23515.28,NK,19
671673,30588.23,23356.0,NK,20
377492,27869.08333333333,23294.93981481481,NK,21
550308,28046.758928571428,23364.14285714286,NK,22
344692,29478.40425531915,23929.26595744681,NK,23
844756,27264.842696629214,23246.03370786517,NK,24
873955,30594.304054054053,23675.50675675676,NK,25
333765,28956.50549450549,23451.28021978022,NK,26
1031434,31254.689655172413,23441.810344827587,NK,27
728786,30133.110294117647,23601.051470588234,NK,28
886981,27432.070175438595,23322.473684210527,NK,29
1017409,31128.182608695653,23888.05217391304,NK,30
555485,31348.61654135338,24039.248120300752,NK,31
776166,30229.95833333333,23795.53125,NK,32
559456,27888.89743589744,23413.021978021978,NK,33
589634,30925.88025889968,23503.5857605178,NK,34
999104,29406.929936305733,23778.974522292992,NK,35
260732,29186.352941176472,23576.50588235294,NK,36
437645,28883.93918918919,23707.39864864865,NK,37
341940,28388.16113744076,23456.34123222749,NK,38
506227,27255.08571428572,23554.007142857143,NK,39
677273,29532.29010238908,23676.38907849829,NK,40
224783,28291.08275862069,23263.05517241379,NK,41
118668,30852.292993630574,23717.808917197453,NK,42
895779,30021.96835443038,23770.90506329114,NK,43
242582,28935.682080924857,23818.11560693641,NK,44
310675,28097.15481171548,23564.167364016736,NK,45
963481,27331.83333333333,23312.89393939394,NK,46
535579,26661.32051282051,23512.18376068376,NK,47
207707,27731.40425531915,23569.602836879432,NK,48
844822,27658.87058823529,23273.05294117647,NK,49
384538,29882.08940397351,23308.62582781457,NK,50
700481,26497.02380952381,23580.98979591837,NK,51
220386,28413.47549019608,23608.97549019608,NK,52
384761,30140.25,23434.118055555555,NK,53
485333,30372.31690140845,23806.33098591549,NK,54
625366,31054.463519313304,23375.78969957081,NK,55
1029062,31013.918604651164,23889.3023255814,NK,56
706748,30782.994923857867,23830.040609137057,NK,57
155424,31495.858757062146,24104.802259887005,NK,58
996445,28052.6875,23235.671875,NK,59
664130,28772.09523809524,23325.768707482992,NK,60
1035040,27952.625,23322.2125,NK,61
877189,28678.78651685393,23527.70786516854,NK,62
614056,28298.468085106382,23495.163120567377,NK,63
358407,30612.23106060606,23803.86363636364,NK,64
612337,28526.91881918819,23345.660516605167,NK,65
